date,tagesschau,tagesthemen
2007-05-20,https://www.tagesschau.de/multimedia/sendung/sendung2210.html,https://www.tagesschau.de/multimedia/sendung/sendung2208.html
2007-05-21,https://www.tagesschau.de/multimedia/sendung/sendung2188.html,https://www.tagesschau.de/multimedia/sendung/sendung2186.html
2007-05-22,https://www.tagesschau.de/multimedia/sendung/sendung2168.html,https://www.tagesschau.de/multimedia/sendung/sendung2166.html
2007-05-23,https://www.tagesschau.de/multimedia/sendung/sendung2146.html,https://www.tagesschau.de/multimedia/sendung/sendung2138.html
2007-05-24,https://www.tagesschau.de/multimedia/sendung/sendung2122.html,https://www.tagesschau.de/multimedia/sendung/sendung2120.html
2007-05-25,https://www.tagesschau.de/multimedia/sendung/sendung2100.html,https://www.tagesschau.de/multimedia/sendung/sendung2098.html
2007-05-26,https://www.tagesschau.de/multimedia/sendung/sendung2086.html,https://www.tagesschau.de/multimedia/sendung/sendung2080.html
2007-05-27,https://www.tagesschau.de/multimedia/sendung/sendung2066.html,https://www.tagesschau.de/multimedia/sendung/sendung2064.html
2007-05-28,https://www.tagesschau.de/multimedia/sendung/sendung2048.html,https://www.tagesschau.de/multimedia/sendung/sendung2046.html
2007-05-29,https://www.tagesschau.de/multimedia/sendung/sendung2018.html,https://www.tagesschau.de/multimedia/sendung/sendung2016.html
2007-05-30,https://www.tagesschau.de/multimedia/sendung/sendung1988.html,https://www.tagesschau.de/multimedia/sendung/sendung1984.html
2007-05-31,https://www.tagesschau.de/multimedia/sendung/sendung1954.html,https://www.tagesschau.de/multimedia/sendung/sendung1952.html
2007-06-01,https://www.tagesschau.de/multimedia/sendung/sendung1924.html,https://www.tagesschau.de/multimedia/sendung/sendung1922.html
2007-06-02,https://www.tagesschau.de/multimedia/sendung/sendung1904.html,
2007-06-03,https://www.tagesschau.de/multimedia/sendung/sendung1886.html,https://www.tagesschau.de/multimedia/sendung/sendung1884.html
2007-06-04,https://www.tagesschau.de/multimedia/sendung/sendung1866.html,https://www.tagesschau.de/multimedia/sendung/sendung1864.html
2007-06-05,https://www.tagesschau.de/multimedia/sendung/sendung1844.html,https://www.tagesschau.de/multimedia/sendung/sendung1842.html
2007-06-06,https://www.tagesschau.de/multimedia/sendung/sendung1824.html,https://www.tagesschau.de/multimedia/sendung/sendung1812.html
2007-06-07,https://www.tagesschau.de/multimedia/sendung/sendung1794.html,https://www.tagesschau.de/multimedia/sendung/sendung1802.html
2007-06-08,https://www.tagesschau.de/multimedia/sendung/sendung1758.html,https://www.tagesschau.de/multimedia/sendung/sendung1780.html
2007-06-09,https://www.tagesschau.de/multimedia/sendung/sendung1760.html,https://www.tagesschau.de/multimedia/sendung/sendung1756.html
2007-06-10,https://www.tagesschau.de/multimedia/sendung/sendung1728.html,https://www.tagesschau.de/multimedia/sendung/sendung1726.html
2007-06-11,https://www.tagesschau.de/multimedia/sendung/sendung1698.html,https://www.tagesschau.de/multimedia/sendung/sendung1696.html
2007-06-12,https://www.tagesschau.de/multimedia/sendung/sendung1668.html,https://www.tagesschau.de/multimedia/sendung/sendung1666.html
2007-06-13,https://www.tagesschau.de/multimedia/sendung/sendung1640.html,https://www.tagesschau.de/multimedia/sendung/sendung1638.html
2007-06-14,https://www.tagesschau.de/multimedia/sendung/sendung1610.html,https://www.tagesschau.de/multimedia/sendung/sendung1608.html
2007-06-15,https://www.tagesschau.de/multimedia/sendung/sendung1578.html,https://www.tagesschau.de/multimedia/sendung/sendung1576.html
2007-06-16,https://www.tagesschau.de/multimedia/sendung/sendung1558.html,https://www.tagesschau.de/multimedia/sendung/sendung1556.html
2007-06-17,https://www.tagesschau.de/multimedia/sendung/sendung1538.html,https://www.tagesschau.de/multimedia/sendung/sendung1536.html
2007-06-18,https://www.tagesschau.de/multimedia/sendung/sendung1510.html,https://www.tagesschau.de/multimedia/sendung/sendung1516.html
2007-06-19,https://www.tagesschau.de/multimedia/sendung/sendung1494.html,https://www.tagesschau.de/multimedia/sendung/sendung1492.html
2007-06-20,https://www.tagesschau.de/multimedia/sendung/sendung1470.html,https://www.tagesschau.de/multimedia/sendung/sendung1468.html
2007-06-21,https://www.tagesschau.de/multimedia/sendung/sendung1448.html,https://www.tagesschau.de/multimedia/sendung/sendung1446.html
2007-06-22,https://www.tagesschau.de/multimedia/sendung/sendung1428.html,https://www.tagesschau.de/multimedia/sendung/sendung1426.html
2007-06-23,https://www.tagesschau.de/multimedia/sendung/sendung1406.html,https://www.tagesschau.de/multimedia/sendung/sendung1404.html
2007-06-24,https://www.tagesschau.de/multimedia/sendung/sendung1384.html,https://www.tagesschau.de/multimedia/sendung/sendung1376.html
2007-06-25,https://www.tagesschau.de/multimedia/sendung/sendung1354.html,https://www.tagesschau.de/multimedia/sendung/sendung1352.html
2007-06-26,https://www.tagesschau.de/multimedia/sendung/sendung1324.html,https://www.tagesschau.de/multimedia/sendung/sendung1322.html
2007-06-27,https://www.tagesschau.de/multimedia/sendung/sendung1292.html,https://www.tagesschau.de/multimedia/sendung/sendung1114.html
2007-06-28,https://www.tagesschau.de/multimedia/sendung/sendung1264.html,https://www.tagesschau.de/multimedia/sendung/sendung1262.html
2007-06-29,https://www.tagesschau.de/multimedia/sendung/sendung1234.html,https://www.tagesschau.de/multimedia/sendung/sendung1232.html
2007-06-30,https://www.tagesschau.de/multimedia/sendung/sendung1214.html,https://www.tagesschau.de/multimedia/sendung/sendung1212.html
